name,description,tag1,tag2,tag3,difficulty,cat_text,baemin_category
토스트,토스트는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#baked,#everyday,3,빵 및 과자류,패스트푸드
트위스터,트위스터는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#western,#everyday,#classic,3,빵 및 과자류,패스트푸드
파운드케이크,파운드케이크는 버터와 설탕의 조화를 살린 달콤한 디저트입니다.,#western,#baked,#everyday,3,빵 및 과자류,카페-디저트
햄샌드위치,햄샌드위치는 햄을 채워 넣은 샌드위치입니다.,#western,#everyday,#classic,3,빵 및 과자류,패스트푸드
간자장,간자장은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#chinese,#everyday,#classic,3,면 및 만두류,중식
국수,국수는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#everyday,3,면 및 만두류,한식
냉면,냉면은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#noodle,#everyday,3,면 및 만두류,한식
떡국,떡국은 얇게 썬 떡을 맑은 육수에 끓여 간을 맞추고 달걀지단과 김가루를 곁들여 먹는 국물 요리입니다.,#korean,#soup,#seafood,3,면 및 만두류,한식
떡만두국,떡만두국은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#everyday,3,면 및 만두류,한식
라면,라면은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#noodle,#everyday,3,면 및 만두류,한식
오징어,오징어는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#seafood,3,밥류,한식
옥수수밥,옥수수밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
완두콩밥,완두콩밥은 밥에 완두콩을 넣어 고소하게 지은 요리입니다.,#korean,#rice,#veggie,3,밥류,한식
유부,유부는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#japanese,#rice,#everyday,3,밥류,돈까스-회
육회비빔밥,육회비빔밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#beef,3,밥류,한식
장어,장어는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
팥밥,팥밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
해물,해물은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
혼합잡곡밥,혼합잡곡밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
계란빵,계란빵은 반죽을 숙성해 구워낸 담백한 빵입니다.,#korean,#baked,#everyday,3,빵 및 과자류,카페-디저트
츄러스,츄러스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#western,#everyday,#classic,3,빵 및 과자류,카페-디저트
피자,피자는 재료의 맛을 살려 간단히 즐기는 요리입니다.,"#western,pizza",#everyday,#classic,3,빵 및 과자류,피자
햄버거,햄버거는 햄을 넣어 즐기는 버거입니다.,#western,#pork,#everyday,3,빵 및 과자류,패스트푸드
호떡,호떡은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#ricecake,#everyday,4,빵 및 과자류,카페-디저트
감자샐러드,감자샐러드는 감자를 주재료로 드레싱과 함께 버무린 샐러드입니다.,#western,#veggie,#everyday,1,빵 및 과자류,패스트푸드
고기,고기는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#western,#beef,#everyday,3,빵 및 과자류,패스트푸드
메기,메기는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#spicy,3,찌개 및 전골류,한식
회덮밥,회덮밥은 밥 위에 회를 얹어 비벼 먹는 한 그릇 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
흑미밥,흑미밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
강낭콩밥,강낭콩밥은 밥에 강낭콩을 넣어 고소하게 지은 요리입니다.,#korean,#rice,#veggie,3,밥류,한식
검정콩밥,검정콩밥은 밥에 검정콩을 넣어 고소하게 지은 요리입니다.,#korean,#rice,#veggie,3,밥류,한식
굴,굴은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#seafood,3,밥류,한식
굴밥,굴밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#seafood,3,밥류,한식
김치,김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#spicy,2,밥류,한식
낙지,낙지는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#seafood,3,밥류,한식
닭고기,닭고기는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#chicken,3,밥류,한식
돼지머리국밥,돼지머리국밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#pork,3,밥류,한식
모듬,모듬은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
무밥,무밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
버섯,버섯은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#veggie,3,밥류,한식
비빔,비빔은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
양송이,양송이는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
열무,열무는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
잡곡밥,잡곡밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
잡채밥,잡채밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
잡탕밥,잡탕밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#everyday,3,밥류,한식
주먹밥,주먹밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,2,밥류,한식
짜장밥,짜장밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#chinese,#rice,#everyday,3,밥류,중식
짬뽕밥,짬뽕밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#chinese,#rice,#everyday,3,밥류,중식
차조밥,차조밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,카페-디저트
참치덮밥,참치덮밥은 밥 위에 참치를 얹어 비벼 먹는 한 그릇 요리입니다.,#japanese,#rice,#everyday,3,밥류,한식
참치회덮밥,참치회덮밥은 밥 위에 참치회를 얹어 비벼 먹는 한 그릇 요리입니다.,#korean,#rice,#spicy,3,밥류,한식
충무김밥,충무김밥은 밥과 여러 재료를 김으로 말아 한입 크기로 썬 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
카레라이스,카레라이스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#japanese,#pork,#everyday,3,밥류,돈까스-회
콩나물,콩나물은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#veggie,2,밥류,한식
콩나물밥,콩나물밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#pork,2,밥류,한식
현미밥,현미밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
볶음밥,볶음밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#everyday,2,밥류,중식
비빔밥,비빔밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
삼각김밥,삼각김밥은 밥과 여러 재료를 김으로 말아 한입 크기로 썬 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
수수밥,수수밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
알밥,알밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
영양돌솥밥,영양돌솥밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
오곡밥,오곡밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
오므라이스,오므라이스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,밥류,한식
우럭회덮밥,우럭회덮밥은 밥 위에 우럭회를 얹어 비벼 먹는 한 그릇 요리입니다.,#korean,#rice,#spicy,3,밥류,한식
율무밥,율무밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
김밥,김밥은 밥과 여러 재료를 김으로 말아 한입 크기로 썬 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
넙치,넙치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#spicy,3,밥류,한식
누룽지,누룽지는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,밥류,한식
돌솥,돌솥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
묵밥,묵밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
보리밥,보리밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
커피,커피는 얼음과 함께 상큼하게 즐기는 음료입니다.,#korean,#everyday,#classic,3,음료 및 차류,카페-디저트
고구마,고구마는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#veggie,#everyday,3,,한식
팝콘,팝콘은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,,한식
달걀,달걀은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,수·조·어·육류,한식
구포,구포는 얇은 쌀면을 맑은 육수에 담아 허브와 함께 먹는 베트남식 면 요리입니다.,#korean,#everyday,#classic,3,수·조·어·육류,한식
계란,계란은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
곤드레밥,곤드레밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
기장밥,기장밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
과ㆍ채주스,과ㆍ채주스는 얼음과 함께 상큼하게 즐기는 음료입니다.,#korean,#everyday,#classic,3,음료 및 차류,카페-디저트
